portable_stage	frozen_source_script	frozen_source_sha256	transformation
01_select_instruments.R	05_metabolite_ivs_final_clump.R;09_MDD_IV_local_clump.R	99d497c4d5a315d5bec81b0a606be00051ff8c9026f4211a52d1a2f654dcecff;cf07e1997fe65bfbf5ae57b1da81ddb9060cbbad38bc28f26b6e69d63578a670	Unified portable CLI; preserved thresholds and local PLINK clumping
02_harmonise_forward.R	06a_outcome_extract_harmonise.R	7b30e0ad96f741397f9c2aaae7cc6a08c7172cc788493c852e79c09c8452c372	Removed machine paths; preserved action 2/action 3 and dynamic frequency columns
03_run_forward_mr.R	06b_mr_analysis.R	5c2f9d70c869262be828f13d37a4fe29518046bbcfc5749c2cbfac149faeff19	Refactored shared engine; preserved random-effects IVW and sensitivity methods
00_prepare_reverse_associations.py	07a_reverse_extract.py	e9b1009665f0c97bd74bdb0f6172f9a104e425686130d473b967ed0f45c1aa99	Removed machine paths and proxy; added portable arguments and fail-closed duplicate handling
04_run_reverse_mr.R	07b_reverse_mr.R;07b_reverse_mr_noUKBB.R	c7c0b5a03440cb660af2a2afd4a799e43c043cda00a613a6f4b310a68b5c3e65;77f5bc8a24653ff6456ffd5fcfc138f99b3b25d2fa404f16b1f8f9ab434cee94	Unified main/no-UKBB runner; preserved analysis suite and multiplicity family
05_run_robustness.R	08_sensitivity.R;06c_presso_rerun.R;06d_pleio_removal.R	42ce50486b187457c978c03449a8de4039e6840ed2435644a86108ebf56b4398;72f461a85ef11a17c5e6fe50e431b29ea8ed071f7fbf8f3b5fc9510f2d19cb00;fac9848f9ba11cc9cd0e1d68ea6701fdf9393fa8b37476fa4b90bf20d055f3d6	Combined robustness stages; retained the frozen thresholds and seed and consumed recovered source-variant sample sizes for Steiger
05a_recover_exposure_variant_n.py	08a_recover_exposure_variant_n.py	d033a41341b13bfc7d1dd1deac5755dc7dbc9d07be021e330b0f7b4c4bf6f1a4	Portable fail-closed CLI; groups requested variants by trait, streams each gzip-compressed source once and records matching/sample-size QC
05b_summarise_leave_one_out.py	06b_mr_analysis.R	5c2f9d70c869262be828f13d37a4fe29518046bbcfc5749c2cbfac149faeff19	Aggregated the frozen candidate leave-one-out output without releasing SNP identifiers
released_presso_sensitivity_15.tsv	06c_presso_rerun.R	72f461a85ef11a17c5e6fe50e431b29ea8ed071f7fbf8f3b5fc9510f2d19cb00	Candidate-level export of the 10,000-run saved objects, including directly retained uncertainty and test metadata; no P-value reconstruction
released_steiger_directionality_15.tsv	08a_recover_exposure_variant_n.py;08_sensitivity.R	d033a41341b13bfc7d1dd1deac5755dc7dbc9d07be021e330b0f7b4c4bf6f1a4;42ce50486b187457c978c03449a8de4039e6840ed2435644a86108ebf56b4398	Candidate-level aggregate of the three-prevalence Steiger run after variant-specific sample-size recovery; variant identifiers and local paths removed
released_exposure_sample_size_qc_15.tsv	08a_recover_exposure_variant_n.py	d033a41341b13bfc7d1dd1deac5755dc7dbc9d07be021e330b0f7b4c4bf6f1a4	Candidate-level source-accession QC aggregate; variant identifiers and local paths removed
06_run_finngen.R	16a_finngen_r13_admission_harmonise.R;16b_finngen_r13_mr.R	4d050ca2633552f7027589601fe36397753009c16cb8ca80a9d79ff4af445ccd;32f9df0dacecf5429c1886167ad841f3743e3189b2c9145050fa63350985f303	Unified admission, harmonisation and MR; retained descriptive Q but replaced overlap-dependent labels with neutral Q-free support labels
07_run_coloc_abf.R	13a_coloc_abf_all_v4.R	1486162f1fc587320818b6d43b7434b41fada6626b1edcb27cda2b4e0792ac0a	Portable manifests; retained harmonisation, four-prior grid and fail-closed status rows
08_classify_coloc.R	13b_classify_summary_v4.R	862cdfe4fabb6088734972ceaf37e998432b182669e4868986f124a2510c828a	Portable PLINK proxy QC and frozen five-label decision tree
09_summarise_instrument_qc.R	05_metabolite_ivs_final_clump.R	99d497c4d5a315d5bec81b0a606be00051ff8c9026f4211a52d1a2f654dcecff	Aggregated final-IV F, MAF, approximate R2 and I2GX diagnostics; unavailable selection denominators remain NA
10_build_locus_manifest.R	13_coloc_loci_manifest_v4.R	3208198febaef60983f4e235f2282f40ea1b2e895edda1e9c568c0fe3fe7a7ee	Removed machine paths; retained exact F/R lead union, stable anchor clustering and window rules
11_extract_locus_windows.R	12a_coloc_window_extract.R	c0898fe7e46d2a97265a9e602aa2bae9f73b4f1bedef89d4850b4068018a693b	Parameterised source and rsID manifests; retained one-read-per-source regional extraction
